# Advanced Settings
| Setting                    | Value | Description                                                   |
| -------------------------- | ----- | ------------------------------------------------------------- |
| ai-agents                  | false | Enable AI agents for this organization                        |
| ai-error-summarization     | true  | Enable AI-powered error summarization                         |
| certified-public-orbs      | true  | Allow use of certified public orbs                            |
| chunk-ip-ranges            | false | Enable chunk IP ranges for this organization                  |
| context-group-restriction  | false | Require context group restriction for this organization       |
| disable-running            | false | Disable all builds for this organization                      |
| disable-user-checkout-keys | false | Disable user checkout keys for this organization              |
| enforce-privacy-optout     | false | Enforce the privacy opt-out for org members                   |
| image-brownouts            | false | Enable image brownout warnings for this organization          |
| marketing-tracking         | false | Allow marketing analytics tracking                            |
| minor-ai-features          | false | Enable minor AI features for this organization                |
| preferences-tracking       | false | Allow preferences analytics tracking                          |
| private-orbs               | false | Allow use of private orbs                                     |
| resource-class-brownouts   | false | Enable resource class brownout warnings for this organization |
| runner-tos-accepted        | false | Mark runner terms of service as accepted                      |
| statistics-tracking        | false | Allow statistics analytics tracking                           |
| uncertified-public-orbs    | false | Allow use of uncertified public orbs                          |
| unversioned-config         | false | Allow triggering pipelines without a config file              |
